id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,wholesale_list_price,cost_method,standard_price,wholesale_standard_price,categ_id,uom_id,uom_po_id,uom_so_id,description,valuation,uos_id,uos_coeff,qty_available
product_cig_1,พระจันทร์ 33,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,420,392.5,Standard Price,0,387.5,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_2,เกล็ดทอง 33,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,420,392.5,Standard Price,0,387.5,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_3,กรองทิพย์ รสอเมริกัน,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,540,502.5,Standard Price,0,497,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_4,กรุงทอง 33,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,590,550,Standard Price,0,544,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_5,สามิต 90,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,650,602.5,Standard Price,0,597,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_6,รอยัลฯ 90,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,650,602.5,Standard Price,0,597,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_7,รอยัลฯ 90 เดอลุกซ์,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,850,801,Standard Price,0,793,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_8,SMS ซองสีแดง,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,380,342,Standard Price,0,338,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_9,SMS ซองสีเขียว,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,380,342,Standard Price,0,338,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_10,GOAL (ซองแดง),,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,350,313.75,Standard Price,0,310,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_11,GOAL (ซองเขียว),,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,350,313.75,Standard Price,0,310,สินค้าปกติ,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_12,WONDER รสอเมริกัน,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,480,440,Standard Price,0,434,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_13,WONDER รสเมนทอล,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,480,440,Standard Price,0,434,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_14,กรุงทอง 90,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,650,602.5,Standard Price,0,597,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_15,กรองทิพย์ 90,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,650,602.5,Standard Price,0,597,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
product_cig_16,สายฝน 90,,,,TRUE,TRUE,Stockable Product,Make to Stock,Buy,650,602.5,Standard Price,0,597,สินค้าขายดี,ห่อ,ห่อ,ห่อ,,Periodical (manual),,,
